Parent Task,Child Tasks Count,Child Tasks,Task Depth,Categories
Boundary Detection,1,Junction Detection,1,Computer Vision
Robotic Grasping,1,Grasp Contact Prediction,1,Robots; Miscellaneous
Automatic Machine Learning Model Selection,1,Smart Grid Prediction,1,Methodology; Miscellaneous
Robot Task Planning,1,Task Planning,1,Robots; Reasoning
Open Information Extraction,1,Event Extraction,2,Natural Language Processing
Lexical Normalization,1,Pronunciation Dictionary Creation,1,Natural Language Processing
Grammatical Error Correction,1,Grammatical Error Detection,1,Natural Language Processing
Environmental Sound Classification,1,Self-Supervised Sound Classification,1,Audio
Entity Alignment,1,Multi-modal Entity Alignment,1,Knowledge Base; Natural Language Processing
ECG Classification,1,Photoplethysmography (PPG),3,Medical
Intent Detection,1,Open Intent Detection,1,Natural Language Processing
Shadow Detection,1,Shadow Detection And Removal,1,Computer Vision
Point Cloud Registration,1,Image to Point Cloud Registration,1,Computer Vision
Audio Signal Recognition,1,Gunshot Detection,1,Audio
Audio-Visual Speech Recognition,1,Text to Speech,1,Speech
Visual Navigation,1,ObjectGoal Navigation,2,Robots; Computer Vision
Landmark Tracking,1,Muscle Tendon Junction Identification,1,Medical; Computer Vision
Ad-Hoc Information Retrieval,1,Document Ranking,2,Natural Language Processing
Lexical Analysis,1,Lexical Complexity Prediction,1,Natural Language Processing
Point Cloud Generation,1,Point Cloud Completion,2,Computer Vision
Multiobjective Optimization,1,Crashworthiness optimisation,1,Methodology
Neural Architecture Search,1,Activation Function Synthesis,1,Methodology
Human Dynamics,1,3D Human Dynamics,2,Computer Vision
Iris Recognition,1,Pupil Dilation,1,Medical; Computer Vision
Multi-Label Image Classification,1,Multi-label Image Recognition with Partial Labels,1,Computer Vision
Multi-Label Learning,1,Missing Labels,1,Methodology; Reasoning
Image/Document Clustering,1,Self-Organized Clustering,1,Miscellaneous; Computer Vision
Image Categorization,1,Fine-Grained Visual Categorization,1,Computer Vision
Entity Resolution,1,Blocking,1,Natural Language Processing
Model Compression,1,Neural Network Compression,1,Methodology; Miscellaneous
Optical Flow Estimation,1,Video Stabilization,1,Computer Vision
Object Reconstruction,1,3D Object Reconstruction,2,Computer Vision
Computational Phenotyping,1,Patient Phenotyping,1,Medical
Eeg Decoding,1,EEG Signal Classification,1,Medical; Time Series
Constituency Parsing,1,Constituency Grammar Induction,1,Natural Language Processing
Graph Clustering,1,Clustering Ensemble,1,Graphs
Source Code Summarization,1,Method name prediction,1,Natural Language Processing; Computer Code
Brain Decoding,1,Brain Computer Interface,4,Medical; Miscellaneous
Spatio-Temporal Forecasting,1,Human Behavior Forecasting,2,Time Series
Lipreading,1,Landmark-based Lipreading,1,Computer Vision
Atari Games,1,Montezuma's Revenge,1,Playing Games
Imitation Learning,1,Behavioural cloning,1,Methodology
Talking Head Generation,1,Unconstrained Lip-synchronization,1,Computer Vision
Image Instance Retrieval,1,Amodal Instance Segmentation,1,Computer Vision
Hand Pose Estimation,1,3D Hand Pose Estimation,3,Graphs; Computer Vision
Spectral Estimation,1,Spectral Estimation From A Single Rgb Image,1,Computer Vision
MULTI-VIEW LEARNING,1,Incomplete multi-view clustering,1,Computer Vision
Phrase Grounding,1,Grounded Open Vocabulary Acquisition,1,Natural Language Processing
Extractive Text Summarization,1,Reader-Aware Summarization,1,Natural Language Processing
Language Modeling,1,Dream Generation,1,Natural Language Processing
Gaussian Processes,1,GPR,1,Methodology; Miscellaneous
Dynamic graph embedding,1,Knowledge Base Completion,1,Graphs
Conversational Response Generation,1,Personalized and Emotional Conversation,1,Natural Language Processing
Traffic Prediction,1,Traffic Data Imputation,1,Time Series
Ultrasound,1,Brain Ventricle Localization And Segmentation In 3D Ultrasound Images,1,Medical
Code Search,1,Annotated Code Search,1,Computer Code
Face Detection,1,Occluded Face Detection,1,Computer Vision
Face Verification,1,Disguised Face Verification,1,Computer Vision
Computed Tomography (CT),1,Stroke Classification,1,Methodology
Face Reconstruction,1,3D Face Reconstruction,5,Computer Vision
hypergraph embedding,1,hyperedge classification,1,Graphs
Active Learning,1,Active Object Detection,1,Methodology; Natural Language Processing; Computer Vision
Visual Recognition,1,Fine-Grained Visual Recognition,1,Computer Vision
Shape Representation Of 3D Point Clouds,1,3D Point Cloud Reconstruction,4,Computer Vision
Video Semantic Segmentation,1,Camera shot segmentation,1,Computer Vision
Intelligent Surveillance,1,Vehicle Re-Identification,1,Computer Vision
Multi-agent Reinforcement Learning,1,SMAC,2,Methodology; Playing Games
Natural Language Transduction,1,Lipreading,2,Natural Language Processing; Computer Vision
FPS Games,1,Game of Doom,1,Playing Games
Language Acquisition,1,Grounded language learning,1,Natural Language Processing
Artificial Life,1,Developmental Learning,1,Robots; Miscellaneous
Interest Point Detection,1,Homography Estimation,1,Computer Vision
Lung Nodule Detection,1,Lung Nodule 3D Detection,1,Medical; Computer Vision
Document Layout Analysis,1,MS-SSIM,1,Computer Vision
Pose Tracking,1,3D Human Pose Tracking,3,Computer Vision
Few-Shot Semantic Segmentation,1,Generalized Few-Shot Semantic Segmentation,1,Computer Vision
Unsupervised Image-To-Image Translation,1,Sensor Modeling,1,Computer Vision
Scene Flow Estimation,1,Self-supervised Scene Flow Estimation,1,Computer Vision
Activity Recognition In Videos,1,Activity Prediction,3,Time Series; Computer Vision
Bayesian Optimisation,1,Bayesian Optimization,2,Methodology
Question Similarity,1,Medical question pair similarity computation,1,Natural Language Processing
Image Matting,1,Semantic Image Matting,1,Computer Vision
Density Estimation,1,Arbitrary Conditional Density Estimation,1,Methodology
Document Ranking,1,Session Search,1,Natural Language Processing
Lung Nodule Classification,1,Lung Nodule 3D Classification,2,Medical; Computer Vision
Clustering Algorithms Evaluation,1,Novel Class Discovery,1,Methodology
Fine-Grained Image Classification,1,Displaced People Recognition,1,Computer Vision
Chatbot,1,Dialogue Generation,2,Methodology; Speech; Natural Language Processing
Table-to-Text Generation,1,KB-to-Language Generation,1,Natural Language Processing
3D Face Animation,1,Video Super-Resolution,2,Playing Games; Computer Vision
Feature Engineering,1,Imputation,2,Methodology; Miscellaneous
Observation Completion,1,Active Observation Completion,1,Computer Vision
Mathematical Proofs,1,Automated Theorem Proving,1,Miscellaneous; Reasoning
Bayesian Inference,1,Probabilistic Programming,1,Methodology
Text-To-SQL,1,MMSQL performance,1,Natural Language Processing; Computer Code
Decision Making Under Uncertainty,1,Uncertainty Visualization,1,Methodology; Reasoning; Computer Vision
Multi-Armed Bandits,1,Thompson Sampling,1,Methodology; Miscellaneous
Vision-Language Navigation,1,Vision-Language-Action,1,Robots; Computer Vision
Human Parsing,1,Multi-Human Parsing,1,Computer Vision
Medical Image Generation,1,Radiologist Binary Classification,1,Medical
Mortality Prediction,1,ICU Mortality,1,Medical
3D Shape Generation,1,Gesture Generation,1,Robots
Sentence Compression,1,Unsupervised Sentence Compression,1,Natural Language Processing
Entity Typing,1,Entity Typing on DH-KGs,1,Natural Language Processing
Neural Network Security,1,Website Fingerprinting Defense,1,Adversarial; Miscellaneous
Sentence Pair Modeling,1,Semantic Similarity,2,Natural Language Processing
Speculation Detection,1,Speculation Scope Resolution,1,Natural Language Processing
Weather Forecasting,1,Solar Irradiance Forecasting,1,Miscellaneous; Time Series
Cross-Domain Few-Shot,1,cross-domain few-shot learning,1,Computer Vision
Value prediction,1,Body Mass Index (BMI) Prediction,1,Computer Code; Computer Vision
Reinforcement Learning,1,Deep Reinforcement Learning,1,Methodology; Natural Language Processing
The Semantic Segmentation Of Remote Sensing Imagery,1,Lake Ice Monitoring,1,Computer Vision
Bias Detection,1,Selection bias,1,Natural Language Processing
Meme Classification,1,Hateful Meme Classification,1,Natural Language Processing; Computer Vision
Document Classification,1,Page Stream Segmentation,1,Natural Language Processing
Sentence Summarization,1,Unsupervised Sentence Summarization,1,Natural Language Processing
Visual Speech Recognition,1,Lip to Speech Synthesis,2,Speech; Music; Computer Vision
Lip to Speech Synthesis,1,Speaker-Specific Lip to Speech Synthesis,1,Computer Vision
Physics-informed machine learning,1,Soil moisture estimation,1,Graphs; Computer Vision
Transparent Object Detection,1,Transparent objects,1,Computer Vision
3D Depth Estimation,1,Transparent Object Depth Estimation,1,Computer Vision
Segmentation Of Remote Sensing Imagery,1,Lake Ice Monitoring,1,Computer Vision
3D Shape Reconstruction From A Single 2D Image,1,Shape from Texture,1,Computer Vision
3D Face Reconstruction,1,Facial Recognition and Modelling,4,Computer Vision
NetHack,1,NetHack Score,1,Playing Games
Hypergraph representations,1,Hypergraph Contrastive Learning,1,Graphs
Offline RL,1,DQN Replay Dataset,1,Miscellaneous; Playing Games
Human action generation,1,Action Generation,1,Computer Vision
3D Shape Reconstruction,1,3D Shape Reconstruction From A Single 2D Image,2,Computer Vision
Camouflaged Object Segmentation,1,Camouflaged Object Segmentation with a Single Task-generic Prompt,1,Computer Vision
Small Object Detection,1,Rice Grain Disease Detection,1,Computer Vision
Sketch-Based Image Retrieval,1,On-the-Fly Sketch Based Image Retrieval,1,Computer Vision
Predictive Process Monitoring,1,Prognosis,1,Time Series
Semi-Supervised Video Object Segmentation,1,One-shot visual object segmentation,1,Computer Vision
Multimodal Deep Learning,1,Multimodal Text and Image Classification,2,Methodology; Natural Language Processing
Few-Shot Transfer Learning for Saliency Prediction,1,Saliency Prediction,2,Computer Vision
Industrial Robots,1,Trajectory Planning,2,Robots
Data Visualization,1,Tree Map Layout,1,Methodology; Graphs; Miscellaneous
Time Series Regression,1,COVID-19 Modelling,1,Time Series
Traffic Accident Detection,1,Accident Anticipation,1,Computer Vision
Fairness,1,Exposure Fairness,1,Adversarial; Miscellaneous; Computer Vision
Cross-Lingual Document Classification,1,News Classification,1,Natural Language Processing
Detection of Dependencies,1,Detection of Higher Order Dependencies,1,Methodology
Generalized Few-Shot Classification,1,Long-tail Learning,2,Methodology
Long-tail Learning,1,Long-tail learning with class descriptors,1,Methodology
Generalized Few-Shot Learning,1,Long-tail Learning,2,Methodology
Video Restoration,1,Analog Video Restoration,1,Computer Vision
Triple Classification,1,Knowledge Graph Embeddings,1,Graphs
severity prediction,1,Intubation Support Prediction,1,Computer Vision
Question Generation,1,Poll Generation,1,Natural Language Processing
Video Editing,1,Video Temporal Consistency,1,Graphs; Computer Vision
Handwriting Verification,1,Bangla Spelling Error Correction,1,Natural Language Processing; Computer Vision
Knowledge Graph Embedding,1,Open Knowledge Graph Embedding,1,Knowledge Base
Graph Representation Learning,1,Knowledge Graph Embedding,2,Graphs
Brain Visual Reconstruction,1,Brain Visual Reconstruction from fMRI,1,Computer Vision
Fashion Understanding,1,Semi-Supervised Fashion Compatibility,1,Computer Vision
3D Object Tracking,1,3D Single Object Tracking,1,Computer Vision
Few-Shot Object Detection,1,Cross-Domain Few-Shot Object Detection,1,Computer Vision
Open-Domain Dialog,1,Dialogue Evaluation,1,Natural Language Processing
Music Transcription,1,Multi-instrument Music Transcription,1,Music
Clinical Concept Extraction,1,Clinical Information Retreival,1,Medical; Natural Language Processing
Recognizing Emotion Cause in Conversations,1,Causal Emotion Entailment,1,Natural Language Processing
Document Summarization,1,Email Thread Summarization,1,Natural Language Processing
Deep Learning,1,Polynomial Neural Networks,1,Methodology; Natural Language Processing; Computer Code; Computer Vision
Neural Rendering,1,Neural Radiance Caching,1,Computer Vision
3D Medical Imaging Segmentation,1,Pancreas Segmentation,1,Medical
Code Documentation Generation,1,CodeSearchNet - Java,1,Computer Code
Mathematical Question Answering,1,Math Word Problem Solving,1,Knowledge Base; Time Series; Reasoning
Speech-to-Text Translation,1,Simultaneous Speech-to-Text Translation,1,Natural Language Processing
Multi-Oriented Scene Text Detection,1,Natural Image Orientation Angle Detection,1,Computer Vision
Persian Sentiment Analysis,1,Transition-Based Dependency Parsing,1,Natural Language Processing
Lip Reading,1,Lip password classification,1,Time Series
Shallow Syntax,1,Chunking,1,Natural Language Processing
Automated Pulmonary Nodule Detection And Classification,1,Pulmonary Nodules Classification,1,Medical
Weakly Supervised Classification,1,Weakly Supervised Data Denoising,1,Natural Language Processing
Twitter Sentiment Analysis,1,Tweet-Reply Sentiment Analysis,1,Natural Language Processing
OpenAI Gym,1,Acrobot,1,Playing Games
3D Shape Representation,1,3D Dense Shape Correspondence,1,Computer Vision
Abnormal Event Detection In Video,1,Semi-supervised Anomaly Detection,2,Computer Vision
Meter Reading,1,Image-based Automatic Meter Reading,2,Computer Vision
Image-based Automatic Meter Reading,1,Dial Meter Reading,1,Computer Vision
Stock Trend Prediction,1,Stock Market Prediction,3,Time Series
Single-Image-Based Hdr Reconstruction,1,Tone Mapping,1,Computer Vision
Patch Matching,1,Multimodal Patch Matching,1,Computer Vision
inverse tone mapping,1,Inverse-Tone-Mapping,2,Computer Vision
Inverse-Tone-Mapping,1,inverse tone mapping,2,Computer Vision
Unsupervised Domain Adaptation,1,Online unsupervised domain adaptation,1,
Indoor Scene Reconstruction,1,Plan2Scene,1,Computer Vision
Depth And Camera Motion,1,Face Anti-Spoofing,1,Computer Vision
3D Character Animation From A Single Photo,1,Scene Recognition,1,Computer Vision
Few-Shot Text Classification,1,Zero-Shot Out-of-Domain Detection,1,Natural Language Processing
Temporal Information Extraction,1,Temporal Tagging,1,Natural Language Processing
Table Extraction,1,Table Functional Analysis,1,Miscellaneous
Language-Based Temporal Localization,1,Corpus Video Moment Retrieval,1,Computer Vision
Protein-Ligand Affinity Prediction,1,MHC presentation prediction,1,Medical
Dialogue Generation,1,Multi-modal Dialogue Generation,1,Natural Language Processing
HDR Reconstruction,1,Multi-Exposure Image Fusion,1,Computer Vision
Moment Retrieval,1,Zero-shot Moment Retrieval,1,Computer Vision
Human Behavior Forecasting,1,Social Cue Forecasting,1,Time Series
Instance Shadow Detection,1,Shadow Detection And Removal,1,Computer Vision
Multi-Person Pose Estimation,1,Semi-Supervised Human Pose Estimation,1,Computer Vision
3D Surface Generation,1,Visibility Estimation from Point Cloud,1,Computer Vision
Product Recommendation,1,Context Aware Product Recommendation,1,Miscellaneous
Pedestrian Detection,1,Thermal Infrared Pedestrian Detection,1,Computer Vision
Literature Mining,1,Systematic Literature Review,1,Knowledge Base; Natural Language Processing
Online Beat Tracking,1,Inference Optimization,1,Audio
Spelling Correction,1,Bangla Spelling Error Correction,1,Natural Language Processing
Sentence Classification,1,Unfairness Detection,1,
Scene Segmentation,1,Thermal Image Segmentation,1,Computer Vision
Landmark Recognition,1,Brain landmark detection,1,Computer Vision
Sleep Stage Detection,1,Sleep Staging,2,Medical
Vietnamese Aspect-Based Sentiment Analysis,1,Sentiment Dependency Learning,1,Natural Language Processing
motion prediction,1,OPD: Single-view 3D Openable Part Detection,1,Computer Vision
Change Detection,1,Semi-supervised Change Detection,1,Computer Vision
Image Stylization,1,One-Shot Face Stylization,1,Computer Vision
Multimodal Association,1,multimodal generation,1,Natural Language Processing; Time Series
Lane Detection,1,3D Lane Detection,1,Computer Vision
Document AI,1,document understanding,2,Natural Language Processing; Computer Vision
Sentence Completion,1,Hurtful Sentence Completion,1,Natural Language Processing
Conversational Question Answering,1,Question Rewriting,1,Natural Language Processing
Task-Oriented Dialogue Systems,1,SSTOD,1,Natural Language Processing
Mistake Detection,1,Online Mistake Detection,1,Computer Vision
3D Semantic Scene Completion,1,3D Semantic Scene Completion from a single RGB image,1,Computer Vision
3D Scene Reconstruction,1,3D Semantic Scene Completion from a single RGB image,1,Computer Vision
Single-View 3D Reconstruction,1,3D Semantic Scene Completion from a single RGB image,1,Computer Vision
Prompt Engineering,1,Visual Prompting,1,Natural Language Processing; Computer Vision
Medical Image Classification,1,Semi-supervised Medical Image Classification,1,Medical
Privacy Preserving,1,Graph Neural Network,1,Graphs
Unsupervised Semantic Segmentation,1,Unsupervised Semantic Segmentation with Language-image Pre-training,1,Computer Vision
Symbolic Regression,1,Equation Discovery,1,Knowledge Base; Natural Language Processing
Management,1,Asset Management,1,Miscellaneous
Medical Genetics,1,Genetic Risk Prediction,1,Medical; Miscellaneous
Situation Recognition,1,Grounded Situation Recognition,1,Computer Vision
Semi Supervised Learning for Image Captioning,1,Pseudo Label,1,Miscellaneous
Temporal Relation Extraction,1,Temporal Relation Classification,1,Natural Language Processing
Text to Video Retrieval,1,Partially Relevant Video Retrieval,1,Computer Vision
Intent Recognition,1,Multimodal Intent Recognition,1,Miscellaneous
energy management,1,energy trading,1,Time Series
Cross-Lingual Entity Linking,1,Variable Disambiguation,1,Natural Language Processing
Molecular Docking,1,Blind Docking,1,Medical
backdoor defense,1,Backdoor Defense for Data-Free Distillation with Poisoned Teachers,1,Adversarial
Continual Named Entity Recognition,1,FG-1-PG-1,1,Natural Language Processing
MuJoCo Games,1,D4RL,1,Robots
Scientific Document Summarization,1,Lay Summarization,1,Natural Language Processing
Instruction Following,1,visual instruction following,1,Natural Language Processing; Computer Vision
Semantic correspondence,1,Interspecies Facial Keypoint Transfer,1,Computer Vision
Phonocardiogram Classification,1,Classify murmurs,1,Time Series
Atomic action recognition,1,Composite action recognition,1,Computer Vision
Target Sound Extraction,1,Streaming Target Sound Extraction,1,Audio
Action Recognition In Videos,1,Action Anticipation,1,Computer Vision
Video Super-Resolution,1,Key-Frame-based Video Super-Resolution (K = 15),1,Computer Vision
Multi-modal Classification,1,Image-text Classification,2,Miscellaneous
Image-text Classification,1,Multilingual Image-Text Classification,1,Miscellaneous
Dense Captioning,1,Live Video Captioning,1,Computer Vision
Directional Hearing,1,Real-time Directional Hearing,1,Audio
Text to Image Generation,1,Text to 3D,1,Natural Language Processing; Computer Vision
NMT,1,Direct NMT,1,Natural Language Processing; Computer Code
Document-level Relation Extraction,1,Document-level RE with incomplete labeling,1,Natural Language Processing
Human motion prediction,1,Stochastic Human Motion Prediction,1,Computer Vision
Cross-Modal Information Retrieval,1,Cross-Modal Retrieval,2,Miscellaneous
Data Valuation,1,Data Interaction,1,Methodology
Calving Front Delineation In Synthetic Aperture Radar Imagery,1,Calving Front Delineation In Synthetic Aperture Radar Imagery With Fixed Training Amount,1,Computer Vision
Open Vocabulary Object Detection,1,Open Vocabulary Attribute Detection,1,Computer Vision
Face Quality Assessement,1,Face Image Quality,1,Computer Vision
Dense Video Captioning,1,Zero-shot dense video captioning,1,Computer Vision
Attribute Extraction,1,legal outcome extraction,1,Natural Language Processing
3D Point Cloud Interpolation,1,Point Cloud Registration,2,Computer Vision
Camera Relocalization,1,camera absolute pose regression,1,Computer Vision
Aspect-Category-Opinion-Sentiment Quadruple Extraction,1,Conversational Sentiment Quadruple Extraction,1,Natural Language Processing
Bayesian Optimization,1,Bayesian Optimisation,2,Methodology
Trajectory Planning,1,Sokoban,1,Playing Games
Key Information Extraction,1,Key-value Pair Extraction,1,Natural Language Processing; Computer Vision
Muscle-Computer Interfaces (MCIs),1,Low-latency processing,1,Robots
Goal-Oriented Dialog,1,User Simulation,1,Natural Language Processing
Model Editing,1,knowledge editing,1,Natural Language Processing
Multimodal Emotion Recognition,1,Video Emotion Detection,1,Computer Vision
Protein Function Prediction,1,Antibody-antigen binding prediction,1,Medical
ECG Patient Identification,1,ECG Patient Identification (gallery-probe),1,Medical
Composed Image Retrieval (CoIR),1,Zero-Shot Composed Image Retrieval (ZS-CIR),1,Computer Vision
Generative Visual Question Answering,1,Video-based Generative Performance Benchmarking,2,Reasoning
Explainable Artificial Intelligence (XAI),1,Slice Discovery,1,Knowledge Base; Computer Vision
Micro-expression Generation,1,Micro-expression Generation (MEGC2021),1,Computer Vision
Shadow Removal,1,Document Shadow Removal,1,Computer Vision
Computer Security,1,File Type Identification,1,Miscellaneous
document understanding,1,Line Items Extraction,1,Natural Language Processing; Computer Vision
Visual Storytelling,1,Image-guided Story Ending Generation,1,Natural Language Processing
Story Generation,1,Visual Storytelling,2,Natural Language Processing
Accented Speech Recognition,1,Speech Synthesis,2,Audio
2D Semantic Segmentation task 3 (25 classes),1,Document Enhancement,1,Computer Vision
Image Deblurring,1,Low-light Image Deblurring and Enhancement,1,Computer Vision
trustable and focussed LLM generated content,1,Game Design,1,Natural Language Processing; Playing Games
Open Vocabulary Semantic Segmentation,1,Zero-Guidance Segmentation,1,Computer Vision
Video-Adverb Retrieval,1,Video-Adverb Retrieval (Unseen Compositions),1,Computer Vision
Optical Charater Recogntion,1,Bangla Text Detection,1,Natural Language Processing
3D Architecture,1,Denoising,3,Adversarial; Graphs
Unsupervised Instance Segmentation,1,Unsupervised Zero-Shot Instance Segmentation,1,Computer Vision
Unsupervised Panoptic Segmentation,1,Unsupervised Zero-Shot Panoptic Segmentation,1,Computer Vision
Personality Generation,1,Personality Alignment,1,Natural Language Processing
Age Estimation,1,Few-shot Age Estimation,1,Computer Vision
Multimodal Reasoning,1,MME,1,Reasoning; Computer Vision
3D Object Super-Resolution,1,Super-Resolution,4,Computer Vision
Machine Unlearning,1,Continual Forgetting,1,Methodology; Computer Vision
Chemical Process,1,Geochemistry,1,Miscellaneous; Time Series
Event Segmentation,1,Generic Event Boundary Detection,1,Computer Vision
Point Cloud Completion,1,Point Cloud Semantic Completion,1,Computer Vision
Paraphrase Generation,1,Multilingual Paraphrase Generation,1,Natural Language Processing
Signal Processing,1,Physiological Computing,1,Audio; Medical
Single Particle Analysis,1,2D Particle Picking,1,Computer Vision
Authorship Attribution,1,Source Code Authorship Attribution,1,Natural Language Processing
Visual Object Tracking,1,Zero-Shot Single Object Tracking,1,Computer Vision
Motor Imagery,1,Within-Session Motor Imagery,2,Medical
ERP,1,Within-Session ERP,1,Medical
SSVEP,1,Within-Session SSVEP,1,Medical
Period Estimation,1,Art Period Estimation (544 Artists),1,Computer Vision
Inductive knowledge graph completion,1,Large Language Model,5,Natural Language Processing
Scene Text Recognition,1,Jersey Number Recognition,1,Computer Vision
Sketch Recognition,1,Image to sketch recognition,1,Computer Vision
Single-Source Domain Generalization,1,Photo to Rest Generalization,1,Computer Vision
Therapeutics Data Commons,1,TDC ADMET Benchmarking Group,1,Medical
Code Completion,1,OpenAPI code completion,1,Computer Code
Camera Pose Estimation,1,Panorama Pose Estimation (N-view),1,Computer Vision
Open-Vocabulary Semantic Segmentation,1,Open-Vocabulary Panoramic Semantic Segmentation,1,Computer Vision
ENF (Electric Network Frequency) Extraction,1,ENF (Electric Network Frequency) Extraction from Video,1,Time Series; Computer Vision
3D Point Cloud Reconstruction,1,3D Point Cloud Classification,3,Computer Vision
Retinal Vessel Segmentation,1,Artery/Veins Retinal Vessel Segmentation,1,Medical; Computer Vision
NLP based Person Retrival,1,Decoder,1,Natural Language Processing; Time Series
Vietnamese Sentiment Analysis,1,Vietnamese Multimodal Sentiment Analysis,1,Natural Language Processing
2D Tiny Object Detection,1,Insulator Defect Detection,1,Computer Vision
Segmentation,1,Open-Vocabulary Semantic Segmentation,2,Computer Vision
Binary text classification,1,Detection of potentially void clauses,1,Natural Language Processing
Image Colorization,1,Sketch Colorization,1,Computer Vision
Part-based Representation Learning,1,Unsupervised Part Discovery,1,Computer Vision
Automatic Speech Recognition (ASR),1,Automatic Phoneme Recognition,1,Speech
Stereo Disparity Estimation,1,Stereo Matching,1,Computer Vision
Joint Multilingual Sentence Representations,1,Abstract Meaning Representation,1,Natural Language Processing
Image Segmentation,1,Few-shot Instance Segmentation,1,Computer Vision
One-Shot Segmentation,1,Patient-Specific Segmentation,1,Computer Vision
Animal Action Recognition,1,cow identification,1,Computer Vision
Data-free Knowledge Distillation,1,Benchmarking,1,Natural Language Processing
Fine-Grained Vehicle Classification,1,Vehicle Color Recognition,1,Computer Vision
3D Interacting Hand Pose Estimation,1,Superpixels,1,Graphs
Natural Language Queries,1,Text-to-CQL,1,Natural Language Processing
Road Segmentation,1,Lane Labeling,1,Computer Vision
3D Shape Reconstruction from Videos,1,DeepFake Detection,2,Medical; Music; Robots; Computer Vision
Text to Audio Retrieval,1,audio moment retrieval,1,Audio
3D Video Frame Interpolation,1,Video Style Transfer,1,Playing Games; Time Series
MRI segmentation,1,Brain Tumor Classification,1,Computer Vision
entity_extraction,1,Pharmacovigilance,1,Medical
Political evalutation,1,Alignement visualisation,1,Natural Language Processing
Human Activity Recognition,1,Sports Activity Recognition,1,Time Series
Zero-Shot Image Classification,1,Open Vocabulary Image Classification,1,Computer Vision
4K 60Fps,1,Photo geolocation estimation,1,Graphs; Computer Vision
Model Optimization,1,Equilibrium traffic assignment,1,Graphs
Lung Nodule 3D Classification,1,Radiomics-based Classification,1,Medical
Stereo Depth Estimation,1,Omnnidirectional Stereo Depth Estimation,1,Computer Vision
Age And Gender Classification,1,Author Profiling,1,Natural Language Processing
Drawing Pictures,1,Style Transfer,3,Computer Vision
Blind Image Deblurring,1,Deblurring,2,Computer Code; Computer Vision
Referring Multi-Object Tracking,1,Cross-view Referring Multi-Object Tracking,1,Computer Vision
Hyperspectral Image Segmentation,1,Hyperspectral,2,Computer Vision
Explanatory Visual Question Answering,1,FS-MEVQA,1,Computer Vision
Multivariate Time Series Forecasting,1,GLinear,1,Time Series
3D Instance Segmentation,1,Interactive 3D Instance Segmentation,2,Computer Vision
Interactive 3D Instance Segmentation,1,Interactive 3D Instance Segmentation -Trained on Scannet40 - Evaluated on Scannet40,1,Computer Vision
News Generation,1,Headline Generation,1,Natural Language Processing
Human Instance Segmentation,1,Pose-Based Human Instance Segmentation,1,Computer Vision
Binding Site Prediction,1,Antibody-antigen binding prediction,1,Medical
Active Speaker Detection,1,Fraud Detection,1,Robots
2-task Classification,1,Topological Data Analysis,1,Methodology
Multi-class Classification,1,Patent classification,1,Computer Vision
Video Anomaly Detection,1,Weakly-supervised Video Anomaly Detection,1,Computer Vision
Unified Image Restoration,1,Blind All-in-One Image Restoration,1,Computer Vision
Cell Segmentation,1,Nuclei Segmentation and Classfication,1,Computer Vision
3D Human Pose Tracking,1,Motion Synthesis,2,Audio
2D Panoptic Segmentation,1,Unsupervised Panoptic Segmentation,2,Computer Vision
3D Human Dynamics,1,Portrait Animation,1,Audio
Room Layout Estimation,1,Multi-view Floor Layout Reconstruction (N-view),1,Computer Vision
Nested Term Recognition,1,Nested Term Recognition from Flat Supervision,1,Natural Language Processing
Quantitative MRI,1,Diffusion  MRI,1,Medical
3D Generation,1,Garment sewing pattern generation,1,Graphs
satellite image super-resolution,1,vehicle detection,1,Computer Vision
ObjectGoal Navigation,1,Heuristic Search,1,Computer Code
Weakly-supervised Temporal Action Localization,1,Weakly Supervised Temporal Action Localization,1,Computer Vision
PHMbench,1,PHM-Vibench,1,Time Series
3D Mesh Denoising,1,3D Noise Generation,1,Computer Vision
Audio-visual Question Answering,1,AUDIO-VISUAL QUESTION ANSWERING (MUSIC-AVQA-v2.0),1,Computer Vision
Anomaly Classification,1,Anomaly Severity Classification (Anomaly vs. Defect),1,Computer Vision
Image to Video Generation,1,Open-Domain Subject-to-Video,1,Computer Vision
